# Blocks-15.1.0.txt
# 日期：2023-07-28, 15:47:20 GMT
# ? 2023 Unicode?, Inc.
# 使用条款详见 https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
# 相关文档详见 https://www.unicode.org/reports/tr44/
#
# 格式:
# 始码..终码; 始码、译名(|例字)|区段名

# ================================================

# 注意：区段(Block)名对比时，忽略大小写、空格、连字符和下划线。例如，"Latin Extended-A"等价于"latin extended a"。
# 	关于属性值对比，详见 UAX #44: https://www.unicode.org/reports/tr44/
#
#  所有区段起始值为 (cp MOD 16) = 0，结束值为 (cp MOD 16) = 15。换言之，区段始码末尾16进制数为...0，终码则为...F。这确保区段总被整列地分配且码表不被中断。
#
#  所有未明列为区段的码位(code point)，其值皆为 No_Block。

# Property:	Block
#
# @missing: 0000..10FFFF; No_Block

31F0..31FF; 片假名音标扩充|Katakana Phonetic Extensions
3200..32FF; 附围中日韩字母及月份|Enclosed CJK Letters and Months
3300..33FF; 中日韩兼容|CJK Compatibility
3400..4DBF; 汉字统一表意扩充甲|CJK Unified Ideographs Extension A
4DC0..4DFF; 易经六十四卦|Yijing Hexagram Symbols
4E00..9FFF; 汉字统一表意|CJK Unified Ideographs
A000..A48F; 彝文音节|Yi Syllables
A490..A4CF; 彝文部首|Yi Radicals
A4D0..A4FF; 傈僳(老)|Lisu
A500..A63F; 瓦伊|Vai
A640..A69F; 西里尔扩充乙|Cyrillic Extended-B
A6A0..A6FF; 巴默姆|Bamum
A700..A71F; 声调修饰字|Modifier Tone Letters
A720..A7FF; 拉丁扩充丁|Latin Extended-D
A800..A82F; 西洛蒂城体|Syloti Nagri
A830..A83F; 通用印度数字形式|Common Indic Number Forms
A840..A87F; 八思巴|Phags-pa
A880..A8DF; 索拉什特拉|Saurashtra
A8E0..A8FF; 天城体扩充|Devanagari Extended
A900..A92F; 克耶利|Kayah Li
A930..A95F; 雷姜|Rejang
A960..A97F; 谚文字母扩充甲|Hangul Jamo Extended-A
A980..A9DF; 爪哇|Javanese
A9E0..A9FF; 缅文扩充乙|Myanmar Extended-B
AA00..AA5F; 占文|Cham
AA60..AA7F; 缅文扩充甲|Myanmar Extended-A
AA80..AADF; 傣越|Tai Viet
AAE0..AAFF; 米代文扩充|Meetei Mayek Extensions
AB00..AB2F; 埃塞扩充甲|Ethiopic Extended-A
AB30..AB6F; 拉丁扩充戊|Latin Extended-E
AB70..ABBF; 切罗基补充|Cherokee Supplement
ABC0..ABFF; 米代文|Meetei Mayek
AC00..D7AF; 谚文音节|Hangul Syllables
D7B0..D7FF; 谚文字母扩充乙|Hangul Jamo Extended-B
D800..DB7F; 高位替代|High Surrogates
DB80..DBFF; 高位私用替代|High Private Use Surrogates
DC00..DFFF; 低位替代|Low Surrogates
E000..F8FF; 私用区|Private Use Area
F900..FAFF; 汉字兼容表意|CJK Compatibility Ideographs
FB00..FB4F; 字母表现形式|Alphabetic Presentation Forms
FB50..FDFF; 阿拉伯表现形式甲|Arabic Presentation Forms-A
FE00..FE0F; 变体选择符|Variation Selectors
FE10..FE1F; 竖排形式|Vertical Forms
FE20..FE2F; 结合半边标记|Combining Half Marks
FE30..FE4F; 中日韩兼容形式|CJK Compatibility Forms
FE50..FE6F; 小型形式变体|Small Form Variants
FE70..FEFF; 阿拉伯表现形式乙|Arabic Presentation Forms-B
FF00..FFEF; 半角及全角|Halfwidth and Fullwidth Forms
FFF0..FFFF; 特殊|Specials
10000..1007F; 线形乙音节|Linear B Syllabary
10080..100FF; 线形乙表意|Linear B Ideograms
10100..1013F; 爱琴数字|Aegean Numbers
10140..1018F; 古希腊数字|Ancient Greek Numbers
10190..101CF; 古代符号|Ancient Symbols
101D0..101FF; 费斯托斯圆盘|Phaistos Disc
10280..1029F; 吕基亚|Lycian
102A0..102DF; 加里亚|Carian
102E0..102FF; 科普特闰余数字|Coptic Epact Numbers
10300..1032F; 古意大利|Old Italic
10330..1034F; 哥特|Gothic
10350..1037F; 古彼尔姆|Old Permic
10380..1039F; 乌加里特|Ugaritic
103A0..103DF; 古波斯|Old Persian
10400..1044F; 德撒律|Deseret
10450..1047F; 萧伯纳|Shavian
10480..104AF; 伊斯马尼亚|Osmanya
104B0..104FF; 奥色治|Osage
10500..1052F; 爱尔巴桑|Elbasan
10530..1056F; 高加索阿尔巴尼亚|Caucasian Albanian
10570..105BF; 维斯库奇|Vithkuqi
10600..1077F; 线形文字甲|Linear A
10780..107BF; 拉丁扩充己|Latin Extended-F
10800..1083F; 塞浦路斯音节|Cypriot Syllabary
10840..1085F; 帝国阿拉姆|Imperial Aramaic
10860..1087F; 巴尔米拉|Palmyrene
10880..108AF; 奈伯特|Nabataean
108E0..108FF; 哈特拉|Hatran
10900..1091F; 腓尼基|Phoenician
10920..1093F; 吕底亚|Lydian
10980..1099F; 麦罗埃圣书体|Meroitic Hieroglyphs
109A0..109FF; 麦罗埃草书体|Meroitic Cursive
10A00..10A5F; 佉卢|Kharoshthi
10A60..10A7F; 古南阿拉比亚|Old South Arabian
10A80..10A9F; 古北阿拉比亚|Old North Arabian
10AC0..10AFF; 摩尼|Manichaean
10B00..10B3F; 阿维斯塔|Avestan
10B40..10B5F; 碑铭体帕提亚|Inscriptional Parthian
10B60..10B7F; 碑铭体巴列维|Inscriptional Pahlavi
10B80..10BAF; 诗篇体巴列维|Psalter Pahlavi
10C00..10C4F; 突厥|Old Turkic
10C80..10CFF; 古匈牙利|Old Hungarian
10D00..10D3F; 哈尼菲罗兴亚|Hanifi Rohingya
10E60..10E7F; 鲁米数字符号|Rumi Numeral Symbols
10E80..10EBF; 耶西迪|Yezidi
10EC0..10EFF; 阿拉伯扩充丙|Arabic Extended-C
10F00..10F2F; 古粟特|Old Sogdian
10F30..10F6F; 粟特|Sogdian
